sample_name	library_ID	title	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	collection_date	cage	mouse_id	genotype	age (months)	Time to cross challenge beam (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)
CALTEC-001-WT1_2mo	CALTEC-001-WT1_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268371	2024	1	WT_1	WT	2	4.81	7.45	11.34	0
CALTEC-001-WT2_2mo	CALTEC-001-WT2_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268372	2024	1	WT_2	WT	2	8.11	5.19	6.7	3
CALTEC-001-WT3_2mo	CALTEC-001-WT3_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268373	2024	1	WT_3	WT	2	23.74	1.54	10.46	1
CALTEC-001-WT4_2mo	CALTEC-001-WT4_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268374	2024	1	WT_4	WT	2	7.04	3.12	10.46	1
CALTEC-001-WT5_2mo	CALTEC-001-WT5_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268375	2024	1	WT_5	WT	2	8.97	3.46	11.42	0
CALTEC-001-WT6_2mo	CALTEC-001-WT6_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268376	2024	2	WT_6	WT	2	11.84	7.96	5.37	0
CALTEC-001-WT7_2mo	CALTEC-001-WT7_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268377	2024	2	WT_7	WT	2	5.6	4.5	6.3	0
CALTEC-001-WT8_2mo	CALTEC-001-WT8_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268378	2024	2	WT_8	WT	2	4.5	3.5	5.6	1
CALTEC-001-WT9_2mo	CALTEC-001-WT9_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268379	2024	2	WT_9	WT	2	5.6	3.54	3.45	2
CALTEC-001-WT10_2mo	CALTEC-001-WT10_2mo	Fecal metagenome of a 2-month-old wild-type mouse	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268380	2024	2	WT_10	WT	2	4.6	4.6	4.78	1
