sample_name	library_ID	title	HOST	DNA_extraction_kit	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	geo_loc_name_country	lat_lon	mouseID	age (months)	genotype	Cage	donor_abx_treatment	donor_genotype	donor_age (months)	collection_date	Time to cross challenge beam (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Bead Expulsion time (s)	Fecal Output (n)	
CALTEC-001-ASO1_Vanco	CALTEC-001-ASO1_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268371		5	ASO	1	Vancomycin	WT	2	2024	10.02	11.56	6.72	5	31	225	1	
CALTEC-001-ASO2_Vanco	CALTEC-001-ASO2_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268372		5	ASO	1	Vancomycin	WT	2	2024	12.19	15.07	30	4	28	232	5	
CALTEC-001-ASO3_Vanco	CALTEC-001-ASO3_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268373		5	ASO	1	Vancomycin	WT	2	2024	10.25	13.2	14.21	4	33.5	300	0	
CALTEC-001-ASO4_Vanco	CALTEC-001-ASO4_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268374		5	ASO	1	Vancomycin	WT	2	2024	20.71	13.15	30	8	33	300	2	
CALTEC-001-ASO5_Vanco	CALTEC-001-ASO5_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268375		5	ASO	2	Vancomycin	WT	2	2024	25.84	11.85	7.32	6	29	182	3	
CALTEC-001-ASO6_Vanco	CALTEC-001-ASO6_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268376		5	ASO	2	Vancomycin	WT	2	2024	30	2.03	30	9	28.5	268	7	
CALTEC-001-ASO7_Vanco	CALTEC-001-ASO7_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268377		5	ASO	2	Vancomycin	WT	2	2024	27	15	28	11	28	265	3	
CALTEC-001-ASO8_Vanco	CALTEC-001-ASO8_Vanco	FMT from 2-month old WT animals treated with vancomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268378		5	ASO	2	Vancomycin	WT	2	2024	26	17	24	8	27	234	1	
CALTEC-001-201	CALTEC-001-201	FMT from 2-month old WT animals treated with Gentamycin/Neomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268379		5	ASO	3	Gentamycin-Neomycin	WT	2	2024	30	2.94	30	9	33	231	6	
CALTEC-001-202	CALTEC-001-202	FMT from 2-month old WT animals treated with Gentamycin/Neomycin	Mus musculus	QIAamp Fast DNA Stool Mini Kit	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	"DNA was isolated from one mouse stool sample pellet using the Qiagen FAST DNA stool mini kint following the manufacturers protocol. Isolated DNA was quantified by Qubit. Pooled libraries were sequenced on Illumina NovaSeq 6000 ensuring 70 million reads, each 150 base pair long."	fastq							USA	34.1374596;-118.1268380		5	ASO	3	Gentamycin-Neomycin	WT	2	2024	30	1.81	30	5	35	196	10	
