Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	genotype	ASO	genotypeASO	0.044943627697751225	-0.05617552100034708	0.10969526400297228	0.5403031490138164	0.657992943848509	0.5403031490138164	0.6418250782871131	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_dubosii	t__SGB2089	genotype	ASO	genotypeASO	-0.9018826764219582	-0.05617552100034708	0.3697484335083366	0.043328705661643596	0.14024817885216218	0.043328705661643596	0.11462132774321321	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB27761	genotype	ASO	genotypeASO	-0.0196183249066726	-0.05617552100034708	0.5347404722802733	0.9476792924493365	0.9673406885582438	0.9476792924493365	0.955363178604331	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	genotype	ASO	genotypeASO	-1.7361411766915293	-0.05617552100034708	1.0396179934328251	0.12561434592612342	0.2472090327826109	0.12561434592612342	0.2274473350992429	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_A2	t__SGB7277	genotype	ASO	genotypeASO	-0.3840439465190252	-0.05617552100034708	0.5753844465551828	0.5821831236920383	0.6902026430276694	0.691000206135893	0.753634727744702	NA	linear	20	19
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_murinus	t__SGB7077	genotype	ASO	genotypeASO	-0.9482309360649502	-0.05617552100034708	0.5750651473659633	0.14614035204302556	0.27654251232757143	0.14614035204302556	0.2547212678133109	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB24148	s__GGB24148_SGB35952	t__SGB35952	genotype	ASO	genotypeASO	-0.3454074351561393	-0.05617552100034708	0.3526746076553497	0.44553103945456796	0.5664115540352647	0.44553103945456796	0.5671777396469415	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_sp_MGM1	t__SGB21581	genotype	ASO	genotypeASO	0.05540676987590543	-0.05617552100034708	0.401522698704665	0.7915064674750734	0.8527840658311757	0.7915064674750734	0.844172036269733	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB5158	t__SGB5158	genotype	ASO	genotypeASO	1.155707041278078	-0.05617552100034708	0.2803789683896045	9.101895823815376e-4	0.010922274988578451	9.101895823815376e-4	0.008487517855707838	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	genotype	ASO	genotypeASO	-1.8047936267871005	-0.05617552100034708	0.6387303602147932	0.015585496493192297	0.06610400236767768	0.015585496493192297	0.052372884612258794	NA	linear	20	19
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28885	s__GGB28885_SGB41566	t__SGB41566	genotype	ASO	genotypeASO	-4.804133218721815	-0.05617552100034708	0.7033723847101019	5.59914868747402e-6	3.144734840176966e-4	5.59914868747402e-6	2.3841180800528622e-4	NA	linear	20	18
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_intestinale	t__SGB2088	genotype	ASO	genotypeASO	-1.5802052399865978	-0.05617552100034708	0.6388302408940688	0.030669823927341522	0.10934458965400021	0.030669823927341522	0.08732705591525487	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	ASO	genotypeASO	-0.9847332742318444	-0.05617552100034708	1.0055902514276567	0.3712870861032447	0.5534528145875516	0.6047200718994511	0.6897877272736858	NA	linear	20	19
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_gordoncarteri	t__SGB2087	genotype	ASO	genotypeASO	-3.12542507991513	-0.05617552100034708	0.6423561808069537	1.822319131548067e-4	0.003280967303560962	1.822319131548067e-4	0.002576235723186624	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	genotype	ASO	genotypeASO	-0.7378465929142758	-0.05617552100034708	0.36446538082002694	0.09222611687136006	0.21015583396349946	0.09222611687136006	0.19333875982884835	NA	linear	20	20
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28893	s__GGB28893_SGB41574	t__SGB41574	genotype	ASO	genotypeASO	-0.829464923672407	-0.05617552100034708	0.42679299565857765	0.09824292187477202	0.2195971317503983	0.09824292187477202	0.2013440102158789	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB27763	genotype	ASO	genotypeASO	1.7234582573387403	-0.05617552100034708	0.42901939665769445	8.642581181682596e-4	0.010630374853469593	8.642581181682596e-4	0.008265853284019508	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_bacterium	t__SGB43504	genotype	ASO	genotypeASO	-2.201395900965166	-0.05617552100034708	0.5954862409435261	0.0024149562678790204	0.019802641396607965	0.0024149562678790204	0.01580313487576973	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB35903	genotype	ASO	genotypeASO	-0.9891799598406282	-0.05617552100034708	0.3608453291722865	0.025086483373564228	0.09350416530146666	0.025086483373564228	0.07546176047047949	NA	linear	20	20
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_reuteri	t__SGB7095	genotype	ASO	genotypeASO	-3.3993872904967324	-0.05617552100034708	0.8101314735948106	6.977634694067536e-4	0.008802554537131352	6.977634694067536e-4	0.007034210110505921	NA	linear	20	20
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__GGB27778	s__GGB27778_SGB40192	t__SGB40192	genotype	ASO	genotypeASO	-0.29753497269441187	-0.05617552100034708	0.3137133520587668	0.4792326116328105	0.5987240993858799	0.4792326116328105	0.5907282341561733	NA	linear	20	20
