Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	genotype	ASO	genotypeASO	0.30903034085006376	0.1052800768112578	0.0930900707511672	0.1969591816275691	0.2985288550999035	0.1969591816275691	0.27094556374838835	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_dubosii	t__SGB2089	genotype	ASO	genotypeASO	-0.97194507793035	0.1052800768112578	0.2518060867430603	4.8354011599260893e-4	0.004196977100529598	4.8354011599260893e-4	0.003127412685694132	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB27761	genotype	ASO	genotypeASO	-0.7496006642116678	0.1052800768112578	0.5205158914978122	0.11841410662017893	0.20177618474696132	0.11841410662017893	0.17684937338805123	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	genotype	ASO	genotypeASO	-1.7361411766915293	0.1052800768112578	0.9468938044872496	0.06449286760885187	0.1234886211746768	0.006755569120909334	0.01868796342987956	NA	linear	40	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_A2	t__SGB7277	genotype	ASO	genotypeASO	NA	NA	NA	NA	NA	0.4869297759285906	0.5768355691207233	contrasts can be applied only to factors with 2 or more levels	linear	40	19
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_murinus	t__SGB7077	genotype	ASO	genotypeASO	0.26137451582736887	0.1052800768112578	0.600525966309777	0.7991247961675843	0.8569764947318398	0.7991247961675843	0.8399712798511174	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB24148	s__GGB24148_SGB35952	t__SGB35952	genotype	ASO	genotypeASO	-0.5517580845013298	0.1052800768112578	0.27652357069157363	0.036387406179440696	0.07895782864327854	0.036387406179440696	0.06818387793437251	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_sp_MGM1	t__SGB21581	genotype	ASO	genotypeASO	-0.29701871874583097	0.1052800768112578	0.29742395975751657	0.21774856108301766	0.32515947763875347	0.21774856108301766	0.2949904493050341	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB5158	t__SGB5158	genotype	ASO	genotypeASO	1.7834254288396003	0.1052800768112578	0.24611738557182886	5.609268984851923e-7	2.596624100904369e-5	5.609268984851923e-7	1.971136147852929e-5	NA	linear	40	39
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	genotype	ASO	genotypeASO	-1.8047936267870992	0.1052800768112578	0.588276617633192	0.003758375391704205	0.014398465724770248	0.006414593100705002	0.01868796342987956	NA	linear	40	29
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28885	s__GGB28885_SGB41566	t__SGB41566	genotype	ASO	genotypeASO	-4.8041332187218195	0.1052800768112578	0.6966590858059332	2.82644250670927e-7	1.6527250657652626e-5	5.652884214540819e-7	1.971136147852929e-5	NA	linear	40	28
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_intestinale	t__SGB2088	genotype	ASO	genotypeASO	-1.6269143224740288	0.1052800768112578	0.40744364550752094	2.4067423735618654e-4	0.0025504339738693224	2.4067423735618654e-4	0.0019322302892459636	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	ASO	genotypeASO	0.6033680470048316	0.1052800768112578	0.744773987638072	0.5121878593201661	0.616512147025682	0.762039315405358	0.8127068230785865	NA	linear	40	37
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_gordoncarteri	t__SGB2087	genotype	ASO	genotypeASO	-1.9931451329136594	0.1052800768112578	0.6008495991139987	0.0015319932616150167	0.01001202655090755	0.0015319932616150167	0.0077274125522971285	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	genotype	ASO	genotypeASO	-0.7378465929142743	0.1052800768112578	0.9087502318741886	0.36642109086823793	0.4982788640815329	0.11162559151136763	0.16764742395527496	NA	linear	40	25
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28893	s__GGB28893_SGB41574	t__SGB41574	genotype	ASO	genotypeASO	-0.3247740304575077	0.1052800768112578	0.30137790853479024	0.19433632638092058	0.2975427881569305	0.19433632638092058	0.26825771731066833	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB27763	genotype	ASO	genotypeASO	1.2236920317006141	0.1052800768112578	0.2861545801030775	9.725445835454538e-4	0.007300655623777022	9.725445835454538e-4	0.005652034463793145	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_bacterium	t__SGB43504	genotype	ASO	genotypeASO	-1.6085999560929345	0.1052800768112578	0.3728791727097883	9.88860240491718e-5	0.0014846266583598631	9.88860240491718e-5	0.0011323590002729473	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB35903	genotype	ASO	genotypeASO	-1.0905074394856096	0.1052800768112578	0.3363197309548762	0.0019817213769072195	0.012137737189155312	0.0019817213769072195	0.0095743406281903	NA	linear	40	40
