Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	age.fct	5	age.fct5	0.16788523126475838	0.18219502207848065	0.0930900707511672	0.9294700138236043	0.9659880124958132	0.9294700138236043	0.9520242031756456	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_dubosii	t__SGB2089	age.fct	5	age.fct5	-0.4048923095771964	0.18219502207848065	0.2518060867430603	0.04598743772914449	0.09694884879901239	0.04598743772914449	0.08382255695175882	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB27761	age.fct	5	age.fct5	-1.8781452580596756	0.18219502207848065	0.5205158914978122	4.743199124677133e-4	0.004153116130736835	4.743199124677133e-4	0.003118070244254968	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	age.fct	5	age.fct5	-1.0529441472949561	0.18219502207848065	0.9468938044872495	0.20637636362698708	0.31068311651704966	0.006755569120908987	0.01868796342987956	NA	linear	40	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_A2	t__SGB7277	age.fct	5	age.fct5	NA	NA	NA	NA	NA	4.044289671385591e-4	0.0027487460308908847	contrasts can be applied only to factors with 2 or more levels	linear	40	19
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_murinus	t__SGB7077	age.fct	5	age.fct5	-1.5523805433550815	0.18219502207848065	0.600525966309777	0.007657561293207715	0.0238976140358252	0.007657561293207715	0.020747851882272256	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB24148	s__GGB24148_SGB35952	t__SGB35952	age.fct	5	age.fct5	-0.7429687688709592	0.18219502207848065	0.27652357069157363	0.004643238844786235	0.015445025019633254	0.004643238844786235	0.015261793252125247	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_sp_MGM1	t__SGB21581	age.fct	5	age.fct5	0.18219502207848065	0.18219502207848065	0.29742395975751657	1	1	1	1	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB5158	t__SGB5158	age.fct	5	age.fct5	-0.05169262870208554	0.18219502207848065	0.24611738557182866	0.4045185812213772	0.5408184641840554	0.6454018798893985	0.7239332974423742	NA	linear	40	39
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	age.fct	5	age.fct5	-1.2014579196731876	0.18219502207848065	0.5725864135827278	0.026258135105005964	0.06246849700569942	0.009076814006685868	0.022748765104264462	NA	linear	40	29
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28885	s__GGB28885_SGB41566	t__SGB41566	age.fct	5	age.fct5	-6.803889124880257	0.18219502207848065	0.6568164849981283	1.3935663734088166e-10	3.870630602142988e-8	1.3935663734088166e-10	2.7941005786846773e-8	NA	linear	40	28
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_intestinale	t__SGB2088	age.fct	5	age.fct5	-0.07738021823969407	0.18219502207848065	0.40744364550752094	0.5454486023192087	0.6467378838598087	0.5454486023192087	0.6349053397097321	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	age.fct	5	age.fct5	0.16804115834171116	0.18219502207848065	0.7447739876380722	0.9851075115843253	1	0.8412129091831835	0.8693978777898366	NA	linear	40	37
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_gordoncarteri	t__SGB2087	age.fct	5	age.fct5	-0.0017036794433210694	0.18219502207848065	0.6008495991139987	0.7667024702263712	0.8308431253997473	0.7667024702263712	0.8161225070508239	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	age.fct	5	age.fct5	-5.078380263233176	0.18219502207848065	1.1129871858638298	1.1146490040103707e-4	0.0015675633461462303	2.2291737637805271e-4	0.0019322302892459636	NA	linear	40	25
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28893	s__GGB28893_SGB41574	t__SGB41574	age.fct	5	age.fct5	-0.9593698789733341	0.18219502207848065	0.30137790853479024	0.001355648354599115	0.009413283262247604	0.001355648354599115	0.007250009880602892	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB27763	age.fct	5	age.fct5	-0.4354299607086338	0.18219502207848065	0.2861545801030775	0.058117247110437864	0.11288157611835047	0.058117247110437864	0.0989597286254165	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_bacterium	t__SGB43504	age.fct	5	age.fct5	0.6027211005545379	0.18219502207848065	0.3728791727097883	0.2933004148943781	0.4166966252527546	0.2933004148943781	0.38186190380729096	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB35903	age.fct	5	age.fct5	0.5854111621199936	0.18219502207848065	0.3363197309548762	0.2701251716676889	0.3887423131124383	0.2701251716676889	0.3563164271011291	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_reuteri	t__SGB7095	age.fct	5	age.fct5	-2.275913744866252	0.18219502207848065	0.7821314468113046	0.004101681336519225	0.015189893216242863	0.008186538883252102	0.021657009937691197	NA	linear	40	34
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__GGB27778	s__GGB27778_SGB40192	t__SGB40192	age.fct	5	age.fct5	-0.16409463852509723	0.18219502207848065	0.33697059267001617	0.3430242798348613	0.47459523648384916	0.3430242798348613	0.43806603889738654	NA	linear	40	40
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28415	s__GGB28415_SGB40997	t__SGB40997	age.fct	5	age.fct5	-1.27618267845097	0.18219502207848065	0.6355552014135072	0.030537317353112936	0.07127512516661444	0.030537317353112936	0.06062111019108063	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB40323	age.fct	5	age.fct5	-0.9525638160362687	0.18219502207848065	0.2527134537944272	3.1909182229150623e-4	0.003222827405144213	3.1909182229150623e-4	0.0024142607686583775	NA	linear	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_muris	t__SGB21446	age.fct	5	age.fct5	0.3314366876131097	0.18219502207848065	0.44435498836509785	0.7474712995577928	0.8133144333876212	0.7474712995577928	0.8025060003284469	NA	linear	40	40
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	age.fct	5	age.fct5	-0.5700503422434247	0.18219502207848065	0.40971345984011	0.08860501709473378	0.1627110313921475	0.08860501709473378	0.1409944914880486	NA	linear	40	40
