Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.19802495593335534	0.2724116889512024	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_dubosii	t__SGB2089	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	4.7685482931925094e-4	0.0031115621049310088	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB27761	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.1183926110812834	0.17681727018098564	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	genotype	ASO	genotypeASO	-5.996938067035707	0	2.046344928874101	0.00338350862576498	0.013282961424843257	0.006755569120909334	0.018682642879232964	NA	logistic	40	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_A2	t__SGB7277	genotype	ASO	genotypeASO	-1.1621776484443607	0	1.6717162319175412	0.4869297759285906	0.59252900444323	0.4869297759285906	0.5768355691207233	NA	logistic	40	19
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_murinus	t__SGB7077	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.7991641685079929	0.8400126646702626	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB24148	s__GGB24148_SGB35952	t__SGB35952	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.03634339711037704	0.06795176861929075	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_sp_MGM1	t__SGB21581	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.21826644863867717	0.2951934094573678	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB5158	t__SGB5158	genotype	ASO	genotypeASO	1.162177648444364	0	1.6717162319175354	0.4869297759285877	0.59252900444323	5.284071724620532e-7	1.9262843287025756e-5	Prevalence association possibly induced by stronger abundance association	logistic	40	39
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	genotype	ASO	genotypeASO	-6.009516957405181	0	2.0394464135896135	0.003212456488698391	0.013282961424843257	0.006414593100705002	0.018682642879232964	NA	logistic	40	29
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28885	s__GGB28885_SGB41566	t__SGB41566	genotype	ASO	genotypeASO	-6.024874048579321	0	2.0312070360849144	0.003015488859185539	0.013282961424843257	5.724094161099044e-7	1.995966746609319e-5	NA	logistic	40	28
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_intestinale	t__SGB2088	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	2.384450680613659e-4	0.00191328685503767	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	genotype	ASO	genotypeASO	0.5671757686479794	0	1.086091432486308	0.6015190207590607	0.692526043588934	0.7621739101450817	0.812850366936643	NA	logistic	40	37
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_gordoncarteri	t__SGB2087	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.001555962741834005	0.007848315213527498	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	genotype	ASO	genotypeASO	2.9651872566782798	0	1.5608171469666738	0.057463842344161124	0.1118079314262066	0.11162559151136763	0.16733406428433054	NA	logistic	40	25
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28893	s__GGB28893_SGB41574	t__SGB41574	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.1933765496800952	0.26739309110937304	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB27763	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	9.530545003104685e-4	0.005538766009050694	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_bacterium	t__SGB43504	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	1.0088554516740622e-4	0.0011395803834402787	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB35903	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.0019590381702695447	0.009481527353466036	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_reuteri	t__SGB7095	genotype	ASO	genotypeASO	3.329048911531425	0	1.5665241989371737	0.033576760580176605	0.07416524750519447	0.010397353388503703	0.02496610005263464	NA	logistic	40	34
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__GGB27778	s__GGB27778_SGB40192	t__SGB40192	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.009579080314733313	0.023187726232721393	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28415	s__GGB28415_SGB40997	t__SGB40997	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.0551139274211474	0.09779064113221286	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB40323	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.0340751390291576	0.06445344693722735	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_muris	t__SGB21446	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	3.1386490942231227e-4	0.0023971317885150773	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.020295339927028255	0.0431747019137312	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28835	s__GGB28835_SGB41494	t__SGB41494	genotype	ASO	genotypeASO	-4.827748420554953	0	1.6810422901184683	0.0040804042175658604	0.015221879863106542	0.008144158736552994	0.021592551383255984	NA	logistic	40	28
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB27849	s__GGB27849_SGB40283	t__SGB40283	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.02656336973649387	0.05379753163805071	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_freteri	t__SGB27768	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.09522186155389933	0.14744191048593852	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified_SGB41589	t__SGB41589	genotype	ASO	genotypeASO	-0.4209057223198108	0	0.6518057449738678	0.5184391248144545	0.622687424506875	0.003477214109694317	0.012970817283603919	NA	logistic	40	26
k__Bacteria	p__Proteobacteria	c__CFGB28310	o__OFGB28310	f__FGB28310	g__GGB28310	s__GGB28310_SGB40880	t__SGB40880	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	1	1	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30451	s__GGB30451_SGB102185	t__SGB102185	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.17943293071963007	0.2524652814686725	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB24132	s__GGB24132_SGB35935	t__SGB35935	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.009032157785130668	0.022748765104264462	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_muris	t__SGB27790	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.31637799551320334	0.40859122769982137	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__CFGB9395	o__OFGB9395	f__FGB9395	g__GGB27929	s__GGB27929_SGB40368	t__SGB40368	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.8171169091396073	0.8532913556379753	All logistic values are the same	logistic	40	40
k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__Mucispirillum	s__Mucispirillum_schaedleri	t__SGB19472	genotype	ASO	genotypeASO	-5.996938067035707	0	2.046344928874101	0.00338350862576498	0.013282961424843257	0.006755569120909334	0.018682642879232964	NA	logistic	40	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28836	s__GGB28836_SGB41496	t__SGB41496	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.029333140343295705	0.05852034466498297	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB9658	o__OFGB9658	f__FGB9658	g__GGB29001	s__GGB29001_SGB41717	t__SGB41717	genotype	ASO	genotypeASO	-5.996938067035707	0	2.046344928874101	0.00338350862576498	0.013282961424843257	0.006755569120909334	0.018682642879232964	NA	logistic	40	30
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.007175686520098479	0.019593614681717386	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridiaceae_unclassified	s__Clostridiaceae_bacterium	t__SGB41645	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.16245443178310426	0.23182998983994593	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28803	s__GGB28803_SGB41457	t__SGB41457	genotype	ASO	genotypeASO	-6.044048655234216	0	2.02119867982765	0.0027867728107698483	0.013282961424843257	0.00556577951884085	0.017504922251413185	NA	logistic	40	27
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB27876	s__GGB27876_SGB40310	t__SGB40310	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.0028040343252708766	0.011898600681837266	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__CFGB50354	o__OFGB50354	f__FGB50354	g__GGB23844	s__GGB23844_SGB35575	t__SGB35575	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.08872802219598541	0.14091064119045604	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB77306	o__OFGB77306	f__FGB77306	g__GGB25052	s__GGB25052_SGB36974	t__SGB36974	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.02188450643125117	0.046066598839536586	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__GGB28248	s__GGB28248_SGB40791	t__SGB40791	genotype	ASO	genotypeASO	2.9651872566782838	0	1.5608171469666714	0.0574638423441604	0.1118079314262066	0.11162559151136628	0.16733406428433054	NA	logistic	40	35
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_johnsonii	t__SGB7041	genotype	ASO	genotypeASO	1.162177648444364	0	1.6717162319175354	0.4869297759285877	0.59252900444323	0.7367589451713108	0.7931284215132847	NA	logistic	40	39
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB18827	s__GGB18827_SGB27766	t__SGB27766	genotype	ASO	genotypeASO	-2.4613827361509104	0	1.5370972102472633	0.1093063162017975	0.18769600819195828	6.903446634121124e-6	1.45699057909609e-4	Prevalence association possibly induced by stronger abundance association	logistic	40	36
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41629	genotype	ASO	genotypeASO	-5.9969380670353045	0	2.0463449288740536	0.0033835086257663766	0.013282961424843257	0.0033835086257663766	0.01273978365194817	NA	logistic	40	10
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__GGB81440	s__GGB81440_SGB45230	t__SGB45230	genotype	ASO	genotypeASO	-1.1621776484443715	0	1.6717162319175332	0.4869297759285843	0.59252900444323	0.09096993292129354	0.14333572927873758	NA	logistic	40	39
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30455	s__GGB30455_SGB43519	t__SGB43519	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.4940498055170257	0.5835463093146607	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_sp_DSM_112343	t__SGB35895	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.03614520340178151	0.06788864901224537	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB21431	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.04122050640876562	0.07547681767084481	All logistic values are the same	logistic	40	40
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia_muris	t__SGB33553	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.14806989436092577	0.21552097146544913	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_MD308	t__SGB7279	genotype	ASO	genotypeASO	2.987682533653976	0	1.1303098580805973	0.008211631137023855	0.02520935009789685	0.016355831388117165	0.037802238539682904	NA	logistic	40	29
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28861	s__GGB28861_SGB41531	t__SGB41531	genotype	ASO	genotypeASO	-9.966143202704588e-16	0	1.1982866334473599	0.9999999999999993	1	0.5350347573540524	0.6264202560554014	NA	logistic	40	38
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB14001	s__GGB14001_SGB21428	t__SGB21428	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.08992911102026302	0.14253586371195837	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalibaculum	s__Faecalibaculum_rodentium	t__SGB4047	genotype	ASO	genotypeASO	-2.987682533653986	0	1.1303098580806021	0.008211631137023924	0.02520935009789685	6.643202791690728e-4	0.004036248968890882	Prevalence association possibly induced by stronger abundance association	logistic	40	31
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_unclassified	f__Clostridia_unclassified	g__Clostridia_unclassified	s__Clostridia_bacterium	t__SGB41692	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.7896592413748404	0.8322033003713823	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Dorea	s__Dorea_sp_5_2	t__SGB7275	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	9.954906887932324e-5	0.0011395803834402787	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41569	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.0026015228258773337	0.011435156183101215	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28950	s__GGB28950_SGB41657	t__SGB41657	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.020781477924066927	0.043859856039741255	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28960	s__GGB28960_SGB41669	t__SGB41669	genotype	ASO	genotypeASO	2.215596161360179	0	1.5731859237161154	0.15902750101213198	0.2549488508289785	0.2927652559461005	0.381784935396385	NA	logistic	40	37
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__GGB30295	s__GGB30295_SGB43259	t__SGB43259	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	3.2933293175885225e-6	7.5464288934457e-5	All logistic values are the same	logistic	40	40
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia_caecimuris	t__SGB14802	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.16212263659024662	0.23176890293293725	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41609	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.0050880804472619445	0.01632256207481632	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB21445	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.6904000341622261	0.7658379355437142	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Bacteria_unclassified_SGB41677	t__SGB41677	genotype	ASO	genotypeASO	-1.320242777869783	0	1.0210174398496048	0.1959882870493118	0.2978700231351378	0.003020456178824198	0.01273978365194817	NA	logistic	40	35
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia_mucosicola	t__SGB33554	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.15998531197448784	0.22912182179203439	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB27892	s__GGB27892_SGB40326	t__SGB40326	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	2.0744941820216578e-4	0.0018906185613424653	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28926	s__GGB28926_SGB41623	t__SGB41623	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	5.609331737366219e-5	7.029193833387043e-4	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB9659	o__OFGB9659	f__FGB9659	g__GGB29003	s__GGB29003_SGB41719	t__SGB41719	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	1.3458541232447274e-4	0.0013372315372702055	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB40306	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.11124697219903701	0.16733406428433054	All logistic values are the same	logistic	40	40
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__GGB9439	s__GGB9439_SGB42949	t__SGB42949	genotype	ASO	genotypeASO	1.162177648444364	0	1.6717162319175354	0.4869297759285877	0.59252900444323	0.7367589451713108	0.7931284215132847	NA	logistic	40	39
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41421	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.004535560759672874	0.01507479160264263	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium_1XD42_1	t__SGB29420	genotype	ASO	genotypeASO	-6.009516957405181	0	2.0394464135896135	0.003212456488698391	0.013282961424843257	0.006414593100705002	0.018682642879232964	NA	logistic	40	29
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB40904	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.07190880280862699	0.11817799150106321	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41462	genotype	ASO	genotypeASO	-4.225886711625133	0	1.6005038424697453	0.008282099717130046	0.02520935009789685	0.016495606258535606	0.03784490983162759	NA	logistic	40	27
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28991	s__GGB28991_SGB94889	t__SGB94889	genotype	ASO	genotypeASO	-1.7835537203960667	0	1.0537149416830982	0.09052515807821869	0.16514523912134949	0.09052515807821869	0.1429157023203374	NA	logistic	40	6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28793	s__GGB28793_SGB41446	t__SGB41446	genotype	ASO	genotypeASO	NA	0	NA	NA	NA	0.11945907142087786	0.17774800608449728	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41480	genotype	ASO	genotypeASO	-2.0736316216088544e-15	0	1.1982866334473572	0.9999999999999987	1	0.0014390192549386	0.0074941132627321895	NA	logistic	40	38
