Kingdom	Phylum	Class	Order	Family	Genus	Species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.9294700138236043	0.9520242031756456	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_dubosii	t__SGB2089	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.04598743772914449	0.08382255695175882	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB27761	age.fct	5	age.fct5	NA	0	NA	NA	NA	4.743199124677133e-4	0.003118070244254968	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB8118	o__OFGB8118	f__FGB8118	g__GGB29005	s__GGB29005_SGB41723	t__SGB41723	age.fct	5	age.fct5	-5.996938067035712	0	2.046344928874092	0.003383508625764805	0.013236190433910711	0.006755569120908987	0.01868796342987956	NA	logistic	40	30
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium_A2	t__SGB7277	age.fct	5	age.fct5	-6.5720053594392	0	1.8579804992315667	4.044289671385591e-4	0.0036530128657802684	4.044289671385591e-4	0.0027487460308908847	NA	logistic	40	19
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_murinus	t__SGB7077	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.007657561293207715	0.020747851882272256	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB24148	s__GGB24148_SGB35952	t__SGB35952	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.004643238844786235	0.015261793252125247	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_sp_MGM1	t__SGB21581	age.fct	5	age.fct5	NA	0	NA	NA	NA	1	1	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB5158	t__SGB5158	age.fct	5	age.fct5	-1.162177648444368	0	1.6717162319175323	0.48692977592858544	0.59252900444323	0.6454018798893985	0.7239332974423742	NA	logistic	40	39
k__Bacteria	p__Firmicutes	c__CFGB77305	o__OFGB77305	f__FGB77305	g__GGB28828	s__GGB28828_SGB41484	t__SGB41484	age.fct	5	age.fct5	-4.799851336044246	0	1.6916578271855565	0.004548752578352469	0.015314133680458702	0.009076814006685868	0.022748765104264462	NA	logistic	40	29
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28885	s__GGB28885_SGB41566	t__SGB41566	age.fct	5	age.fct5	-4.179737113876045	0	1.6138275214657747	0.009598909113794324	0.027485536148007635	1.3935663734088166e-10	2.7941005786846773e-8	Prevalence association possibly induced by stronger abundance association	logistic	40	28
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_intestinale	t__SGB2088	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.5454486023192087	0.6349053397097321	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__GGB28782	s__GGB28782_SGB41435	t__SGB41435	age.fct	5	age.fct5	-0.567175768647976	0	1.0860914324863065	0.6015190207590624	0.692526043588934	0.8412129091831835	0.8693978777898366	NA	logistic	40	37
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_gordoncarteri	t__SGB2087	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.7667024702263712	0.8161225070508239	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacteriaceae_unclassified	s__Eubacteriaceae_bacterium	t__SGB41701	age.fct	5	age.fct5	-6.101485879056296	0	1.9926920149288534	0.002199139828527279	0.012791855232952225	2.2291737637805271e-4	0.0019322302892459636	NA	logistic	40	25
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28893	s__GGB28893_SGB41574	t__SGB41574	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.001355648354599115	0.007250009880602892	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB27763	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.058117247110437864	0.0989597286254165	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Oscillospiraceae_unclassified	s__Oscillospiraceae_bacterium	t__SGB43504	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.2933004148943781	0.38186190380729096	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium	t__SGB35903	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.2701251716676889	0.3563164271011291	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus_reuteri	t__SGB7095	age.fct	5	age.fct5	-3.329048911531433	0	1.5665241989371783	0.033576760580176716	0.07401543850115201	0.008186538883252102	0.021657009937691197	NA	logistic	40	34
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__GGB27778	s__GGB27778_SGB40192	t__SGB40192	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.3430242798348613	0.43806603889738654	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28415	s__GGB28415_SGB40997	t__SGB40997	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.030537317353112936	0.06062111019108063	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculaceae_unclassified	s__Muribaculaceae_bacterium	t__SGB40323	age.fct	5	age.fct5	NA	0	NA	NA	NA	3.1909182229150623e-4	0.0024142607686583775	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_muris	t__SGB21446	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.7474712995577928	0.8025060003284469	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.08860501709473378	0.1409944914880486	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28835	s__GGB28835_SGB41494	t__SGB41494	age.fct	5	age.fct5	-4.827748420554966	0	1.6810422901184774	0.004080404217565965	0.015187213813486323	0.004446109003008606	0.015137342605143224	NA	logistic	40	28
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__GGB27849	s__GGB27849_SGB40283	t__SGB40283	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.010816195107419713	0.025861928600005267	All logistic values are the same	logistic	40	40
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_freteri	t__SGB27768	age.fct	5	age.fct5	NA	0	NA	NA	NA	0.06426561553818211	0.1085074182349938	All logistic values are the same	logistic	40	40
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified_SGB41589	t__SGB41589	age.fct	5	age.fct5	0.42090572231981144	0	0.6518057449738691	0.5184391248144549	0.622687424506875	0.01007481750610028	0.024264275194872145	NA	logistic	40	26
